record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000842,comment,东方财富股吧,特么板块在拉它在出货！,2026-06-08,特么板块在拉它在出货！,浦发银行(600000),23,0,"https://guba.eastmoney.com/news,600000,1722080149.html"
COMM_000843,comment,东方财富股吧,谁说高开来着,2026-06-08,谁说高开来着,浦发银行(600000),21,0,"https://guba.eastmoney.com/news,600000,1722040363.html"
COMM_000844,comment,东方财富股吧,整天公司牛逼吹的响胖胖，股价跌的令人发指，破发银行,2026-06-08,整天公司牛逼吹的响胖胖，股价跌的令人发指，破发银行,浦发银行(600000),28,0,"https://guba.eastmoney.com/news,600000,1722023454.html"
COMM_000845,comment,东方财富股吧,发行价10元，这是一个破发银行，不多见,2026-06-08,发行价10元，这是一个破发银行，不多见,浦发银行(600000),40,0,"https://guba.eastmoney.com/news,600000,1722018587.html"
COMM_000846,comment,东方财富股吧,分红前一个月基本稳在9.5左右,2026-06-07,分红前一个月基本稳在9.5左右,浦发银行(600000),48,1,"https://guba.eastmoney.com/news,600000,1721997934.html"
COMM_000847,comment,东方财富股吧,这浦发要说分红也是所有银行里垫底，时间又慢，次数又少，,2026-06-07,这浦发要说分红也是所有银行里垫底，时间又慢，次数又少，,浦发银行(600000),40,0,"https://guba.eastmoney.com/news,600000,1721997826.html"
COMM_000848,comment,东方财富股吧,周一浦发如砸盘，大盘彻底,2026-06-07,周一浦发如砸盘，大盘彻底,浦发银行(600000),83,1,"https://guba.eastmoney.com/news,600000,1721945222.html"
COMM_000849,comment,东方财富股吧,周一能不跌的都是牛,2026-06-07,周一能不跌的都是牛,浦发银行(600000),50,1,"https://guba.eastmoney.com/news,600000,1721936266.html"
COMM_000850,comment,东方财富股吧,我之前一直说，浦发和cpo决对死对头，cpo涨这货必跌无疑，cpo跌则浦发跌不到,2026-06-07,我之前一直说，浦发和cpo决对死对头，cpo涨这货必跌无疑，cpo跌则浦发跌不到,浦发银行(600000),52,0,"https://guba.eastmoney.com/news,600000,1721933814.html"
COMM_000851,comment,东方财富股吧,大盘如不好，这货会有作为的，这点我可以,2026-06-07,大盘如不好，这货会有作为的，这点我可以,浦发银行(600000),35,0,"https://guba.eastmoney.com/news,600000,1721923079.html"
